url_length,hostname_length,path_length,dot_count,hyphen_count,subdomain_count,query_parameter_count,has_ip_address,has_at_symbol,has_encoded_characters,suspicious_keyword_count,is_https,label
21,11,1,1,0,0,0,0,0,0,0,1,0
22,11,6,1,0,0,0,0,0,0,0,1,0
25,12,8,1,0,0,0,0,0,0,0,1,0
27,15,10,2,0,1,0,0,0,0,0,1,0
29,13,12,1,0,0,1,0,0,0,0,1,0
31,17,9,2,0,1,0,0,0,0,0,1,0
33,14,11,1,0,0,0,0,0,0,0,1,0
35,16,14,2,0,1,1,0,0,0,0,1,0
36,18,15,2,1,1,0,0,0,0,1,1,0
39,20,13,2,0,1,0,0,0,0,0,1,0
42,19,17,2,0,1,1,0,0,1,1,1,0
45,21,18,3,0,2,0,0,0,0,1,1,0
48,22,20,3,1,2,1,0,0,1,1,1,0
52,23,22,3,1,2,1,0,0,1,2,1,0
24,12,7,1,0,0,0,1,0,0,1,0,1
28,14,9,1,1,0,0,1,0,0,1,0,1
31,15,11,2,1,1,0,1,0,0,1,0,1
34,17,14,2,1,1,1,1,0,0,2,0,1
38,18,16,2,1,1,1,1,1,0,2,0,1
41,20,18,3,1,2,0,1,0,1,1,0,1
44,21,19,3,2,2,1,0,1,1,2,0,1
47,22,20,3,2,2,1,0,1,1,2,0,1
50,24,22,4,2,3,1,0,1,1,3,0,1
54,25,25,4,2,3,2,0,1,1,3,0,1
57,27,27,4,3,3,2,0,1,1,3,0,1
61,29,30,5,3,4,2,0,1,1,4,0,1
66,31,34,5,3,4,3,1,0,1,3,0,1
71,33,36,5,4,4,3,1,1,1,4,0,1
76,35,40,6,4,5,3,1,1,1,4,0,1
82,38,45,6,5,5,4,1,1,1,5,0,1
